Stand,Plot ,Canopy,Year,Month,Day,GSF
SF,19,Open,2014,July,3,0.205
SF,20,Open,2014,July,3,0.171
SF,21,Open,2014,July,3,0.18
SF,22,Quru,2014,July,3,0.137
SF,23,Quru,2014,July,3,0.055
SF,24,Quru,2014,July,3,0.111
SF,25,Acsa,2014,July,3,0.084
SF,26,Acsa,2014,July,3,0.133
SF,27,Acsa,2014,July,3,0.151
GR,10,Open,2014,July,3,0.108
GR,11,Open,2014,July,3,0.206
GR,12,Open,2014,July,3,0.197
GR,13,Quru,2014,July,3,0.126
GR,14,Quru,2014,July,3,0.059
GR,15,Quru,2014,July,3,0.078
GR,16,Acsa,2014,July,3,0.117
GR,17,Acsa,2014,July,3,0.086
GR,18,Acsa,2014,July,3,0.095
RF,1,Open,2014,July,12,NA
RF,2,Open,2014,July,12,NA
RF,3,Open,2014,July,12,NA
RF,4,Quru,2014,July,12,NA
RF,5,Quru,2014,July,12,NA
RF,6,Quru,2014,July,12,NA
RF,7,Acsa,2014,July,12,NA
RF,8,Acsa,2014,July,12,NA
RF,9,Acsa,2014,July,12,NA
RF,1,Open,2015,June,17,0.136
RF,2,Open,2015,June,17,0.126
RF,3,Open,2015,June,17,0.088
RF,4,Quru,2015,June,17,0.119
RF,5,Quru,2015,June,17,0.161
RF,6,Quru,2015,June,17,0.152
RF,7,Acsa,2015,June,17,0.153
RF,8,Acsa,2015,June,17,0.124
RF,9,Acsa,2015,June,17,0.13
GR,10,Open,2015,June,18,0.099
GR,11,Open,2015,June,18,0.252
GR,12,Open,2015,June,18,0.281
GR,13,Quru,2015,June,18,0.175
GR,14,Quru,2015,June,18,0.106
GR,15,Quru,2015,June,18,0.13
GR,16,Acsa,2015,June,18,0.168
GR,17,Acsa,2015,June,18,0.103
GR,18,Acsa,2015,June,18,0.162
SF,19,Open,2015,June,30,0.265
SF,20,Open,2015,June,30,0.22
SF,21,Open,2015,June,30,0.223
SF,22,Quru,2015,June,30,0.17
SF,23,Quru,2015,June,30,0.11
SF,24,Quru,2015,June,30,0.166
SF,25,Acsa,2015,June,30,0.157
SF,26,Acsa,2015,June,30,0.137
SF,27,Acsa,2015,June,30,0.126
RF,1,Open,2016,June,16,0.095
RF,2,Open,2016,June,16,0.123
RF,3,Open,2016,June,16,0.107
RF,4,Quru,2016,June,16,0.099
RF,5,Quru,2016,June,16,0.096
RF,6,Quru,2016,June,16,0.13
RF,7,Acsa,2016,June,16,0.095
RF,8,Acsa,2016,June,16,0.073
RF,9,Acsa,2016,June,16,0.112
GR,10,Open,2016,June,14,0.131
GR,11,Open,2016,June,14,0.137
GR,12,Open,2016,June,14,0.095
GR,13,Quru,2016,June,14,0.144
GR,14,Quru,2016,June,14,0.12
GR,15,Quru,2016,June,14,0.19
GR,16,Acsa,2016,June,14,0.135
GR,17,Acsa,2016,June,14,0.139
GR,18,Acsa,2016,June,14,0.159
SF,19,Open,2016,June,23,0.182
SF,20,Open,2016,June,23,0.187
SF,21,Open,2016,June,23,0.101
SF,22,Quru,2016,June,23,0.148
SF,23,Quru,2016,June,23,0.119
SF,24,Quru,2016,June,23,0.203
SF,25,Acsa,2016,June,23,0.112
SF,26,Acsa,2016,June,23,0.139
SF,27,Acsa,2016,June,23,0.123
